user_id,total_ratings,favorite_genre,favorite_device,first_seen,last_seen,tenure_days,ratings_per_day,subscription,age_group,days_inactive,churn_risk,is_active,avg_daily_hours,age_enc,sub_enc,risk_enc,genre_enc,dev_enc,is_active_bin,total_watches,avg_watch_pct,unique_genres,avg_rating_given,num_ratings,mobile_sessions,tv_sessions,evening_watches,weekend_watches,latest_watch,days_since_last,rating_ratio,mobile_ratio,evening_ratio,weekend_ratio
10004,147,Action,Smart TV,2013-08-27 23:33:26,2020-02-01 22:29:54,2348,0.0626,Standard,35-44,661,High,False,0.1,2,3,0,0,2,0,147,51.43265306122449,11,3.578231292517007,147,35,95,126,39,2020-02-01 22:29:54,661,0.9932432432432432,0.23648648648648649,0.8513513513513513,0.2635135135135135
10007,7,Action,Mobile,2020-07-31 00:00:53,2021-07-16 19:56:57,350,0.02,Free,35-44,130,Medium,False,0.1,2,1,2,0,1,0,7,61.128571428571426,4,4.5,7,5,2,6,4,2021-07-16 19:56:57,130,0.875,0.625,0.75,0.5
10010,10,Drama,Mobile,2020-02-12 19:15:35,2020-09-18 16:39:53,218,0.0459,Free,35-44,431,High,False,0.1,2,1,0,7,1,0,10,53.760000000000005,5,4.0,10,4,3,7,2,2020-09-18 16:39:53,431,0.9090909090909091,0.36363636363636365,0.6363636363636364,0.18181818181818182
10016,182,Action,Smart TV,2013-09-14 22:31:28,2019-12-06 22:18:40,2273,0.0801,Standard,35-44,718,High,False,0.1,2,3,0,0,2,0,182,43.26428571428572,7,3.0934065934065935,182,17,161,168,93,2019-12-06 22:18:40,718,0.994535519125683,0.09289617486338798,0.9180327868852459,0.5081967213114754
10018,6,Biography,Mobile,2018-11-17 01:37:45,2019-11-05 00:41:23,352,0.017,Free,25-34,750,High,False,0.1,1,1,0,3,1,0,6,65.13333333333334,4,4.666666666666667,6,2,2,4,2,2019-11-05 00:41:23,750,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.2857142857142857
10019,10,Action,Mobile,2013-10-13 02:59:04,2015-05-25 23:11:24,589,0.017,Free,35-44,2374,High,False,0.1,2,1,0,0,1,0,10,52.56,4,3.5,10,8,0,4,6,2015-05-25 23:11:24,2374,0.9090909090909091,0.7272727272727273,0.36363636363636365,0.5454545454545454
1002,16,Drama,Smart TV,2017-01-24 21:10:59,2017-04-21 22:55:26,87,0.1839,Free,25-34,1677,High,False,0.16,1,1,0,7,2,0,16,58.8875,6,3.9375,16,7,7,12,3,2017-04-21 22:55:26,1677,0.9411764705882353,0.4117647058823529,0.7058823529411765,0.17647058823529413
10022,8,Action,Laptop,2013-03-30 13:37:38,2014-03-22 14:58:15,357,0.0224,Free,45-54,2803,High,False,0.1,3,1,0,0,0,0,8,61.45,5,4.5,8,0,2,2,7,2014-03-22 14:58:15,2803,0.8888888888888888,0.0,0.2222222222222222,0.7777777777777778
10025,10,Drama,Mobile,2017-12-06 16:04:35,2019-11-29 16:10:08,723,0.0138,Free,55+,725,High,False,0.1,4,1,0,7,1,0,10,64.06,5,4.55,10,4,3,5,3,2019-11-29 16:10:08,725,0.9090909090909091,0.36363636363636365,0.45454545454545453,0.2727272727272727
10031,27,Action,Mobile,2014-11-11 21:43:19,2015-10-31 04:09:47,353,0.0765,Free,25-34,2216,High,False,0.1,1,1,0,0,1,0,27,46.992592592592594,7,3.3333333333333335,27,15,8,10,3,2015-10-31 04:09:47,2216,0.9642857142857143,0.5357142857142857,0.35714285714285715,0.10714285714285714
10036,7,Action,Laptop,2018-03-12 20:45:19,2018-08-31 12:42:03,171,0.0409,Free,45-54,1180,High,False,0.1,3,1,0,0,0,0,7,65.84285714285714,3,4.642857142857143,7,1,2,3,1,2018-08-31 12:42:03,1180,0.875,0.125,0.375,0.125
10037,21,Action,Smart TV,2017-11-12 21:06:31,2019-10-08 23:25:10,695,0.0302,Free,25-34,777,High,False,0.1,1,1,0,0,2,0,21,53.25238095238095,6,3.8333333333333335,21,2,19,20,9,2019-10-08 23:25:10,777,0.9545454545454546,0.09090909090909091,0.9090909090909091,0.4090909090909091
10040,6,Adventure,Mobile,2013-06-24 00:48:11,2016-06-04 23:05:52,1076,0.0056,Free,35-44,1998,High,False,0.1,2,1,0,1,1,0,6,53.916666666666664,5,4.083333333333333,6,4,2,5,4,2016-06-04 23:05:52,1998,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.5714285714285714
10046,131,Action,Laptop,2013-09-11 05:19:04,2017-02-25 20:33:33,1263,0.1037,Standard,55+,1732,High,False,0.1,4,3,0,0,0,0,131,47.519847328244275,10,3.3702290076335877,131,29,39,45,39,2017-02-25 20:33:33,1732,0.9924242424242424,0.2196969696969697,0.3409090909090909,0.29545454545454547
10047,4,Drama,Smart TV,2013-04-11 19:21:40,2018-09-15 14:57:15,1982,0.002,Free,18-24,1165,High,False,0.1,0,1,0,7,2,0,4,54.775,3,4.0,4,1,2,3,2,2018-09-15 14:57:15,1165,0.8,0.2,0.6,0.4
10048,9,Comedy,Mobile,2013-06-23 01:36:53,2013-10-31 19:15:02,130,0.0692,Free,18-24,2945,High,False,0.1,0,1,0,4,1,0,9,53.833333333333336,5,3.7777777777777777,9,5,4,8,3,2013-10-31 19:15:02,2945,0.9,0.5,0.8,0.3
1005,172,Action,Laptop,2013-03-22 16:10:03,2019-11-23 06:01:07,2436,0.0706,Standard,18-24,731,High,False,0.1,0,3,0,0,0,0,172,54.039534883720926,9,3.875,172,29,5,10,45,2019-11-23 06:01:07,731,0.9942196531791907,0.1676300578034682,0.057803468208092484,0.26011560693641617
10050,28,Action,Smart TV,2013-10-24 10:05:48,2014-03-13 16:53:51,140,0.2,Free,45-54,2812,High,False,0.13,3,1,0,0,2,0,28,44.43214285714286,10,3.267857142857143,28,9,14,20,8,2014-03-13 16:53:51,2812,0.9655172413793104,0.3103448275862069,0.6896551724137931,0.27586206896551724
10051,8,Drama,Smart TV,2015-12-07 14:10:51,2017-12-02 22:13:25,726,0.011,Free,45-54,1452,High,False,0.1,3,1,0,7,2,0,8,63.0375,5,4.5625,8,1,5,5,5,2017-12-02 22:13:25,1452,0.8888888888888888,0.1111111111111111,0.5555555555555556,0.5555555555555556
10052,5,Drama,Mobile,2015-03-09 17:39:35,2016-01-26 01:31:53,322,0.0155,Free,45-54,2129,High,False,0.1,3,1,0,7,1,0,5,64.72,4,4.1,5,4,0,3,0,2016-01-26 01:31:53,2129,0.8333333333333334,0.6666666666666666,0.5,0.0
